false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.0005
0.0,0.0065
0.0,0.0075
0.0,0.0205
0.0,0.0215
0.0,0.059
0.0,0.06
0.0,0.148
0.0,0.149
0.0,0.309
0.0,0.31
0.0,0.4565
0.00014285714285714287,0.4565
0.00014285714285714287,0.471
0.00028571428571428574,0.471
0.00028571428571428574,0.489
0.00042857142857142855,0.489
0.00042857142857142855,0.4945
0.0005714285714285715,0.4945
0.0005714285714285715,0.514
0.0007142857142857143,0.514
0.0007142857142857143,0.517
0.0008571428571428571,0.517
0.0008571428571428571,0.519
0.001,0.519
0.001,0.52
0.001142857142857143,0.52
0.001142857142857143,0.5205
0.0014285714285714286,0.5205
0.0014285714285714286,0.5235
0.0015714285714285715,0.5235
0.0015714285714285715,0.524
0.0018571428571428571,0.524
0.0018571428571428571,0.526
0.002,0.526
0.002,0.5285
0.002142857142857143,0.5285
0.002142857142857143,0.5375
0.002285714285714286,0.5375
0.002285714285714286,0.538
0.0024285714285714284,0.538
0.0024285714285714284,0.539
0.0025714285714285713,0.539
0.0025714285714285713,0.5425
0.0027142857142857142,0.5425
0.0027142857142857142,0.5455
0.002857142857142857,0.5455
0.002857142857142857,0.549
0.003142857142857143,0.549
0.003142857142857143,0.55
0.0034285714285714284,0.55
0.0034285714285714284,0.5505
0.0035714285714285713,0.5505
0.0035714285714285713,0.554
0.0037142857142857142,0.554
0.0037142857142857142,0.5545
0.003857142857142857,0.5545
0.003857142857142857,0.557
0.004,0.557
0.004,0.5575
0.004142857142857143,0.5575
0.004142857142857143,0.5595
0.004285714285714286,0.5595
0.004285714285714286,0.56
0.004428571428571428,0.56
0.004428571428571428,0.5605
0.004571428571428572,0.5605
0.004571428571428572,0.563
0.004857142857142857,0.563
0.004857142857142857,0.568
0.005,0.568
0.005,0.57
0.005142857142857143,0.57
0.005142857142857143,0.571
0.005285714285714286,0.571
0.005285714285714286,0.575
0.0054285714285714284,0.575
0.0054285714285714284,0.5815
0.005571428571428572,0.5815
0.005571428571428572,0.583
0.005714285714285714,0.583
0.005714285714285714,0.588
0.005857142857142857,0.588
0.005857142857142857,0.5885
0.006,0.5885
0.006,0.589
0.006285714285714286,0.589
0.006285714285714286,0.5895
0.0064285714285714285,0.5895
0.0064285714285714285,0.5915
0.006571428571428572,0.5915
0.006571428571428572,0.593
0.006714285714285714,0.593
0.006714285714285714,0.5935
0.007142857142857143,0.5935
0.007142857142857143,0.5965
0.007285714285714286,0.5965
0.007285714285714286,0.6015
0.007571428571428572,0.6015
0.007571428571428572,0.603
0.007714285714285714,0.603
0.007714285714285714,0.6035
0.007857142857142858,0.6035
0.007857142857142858,0.6045
0.008,0.6045
0.008,0.606
0.008142857142857143,0.606
0.008142857142857143,0.6075
0.008285714285714285,0.6075
0.008285714285714285,0.6105
0.00842857142857143,0.6105
0.00842857142857143,0.611
0.008571428571428572,0.611
0.008571428571428572,0.614
0.008714285714285714,0.614
0.008714285714285714,0.617
0.008857142857142857,0.617
