feature,coefficient,odds_ratio,abs_coefficient
categorical__previous_loan_defaults_on_file_Yes,-5.310100990895921,0.00494142765327393,5.310100990895921
categorical__previous_loan_defaults_on_file_No,3.699675426335772,40.43417836057521,3.699675426335772
categorical__person_home_ownership_OWN,-1.666917050422214,0.18882831737479502,1.666917050422214
numeric__loan_percent_income,1.3363450772912182,3.80511067375417,1.3363450772912182
categorical__loan_intent_VENTURE,-1.028954837813743,0.35738028580328984,1.028954837813743
numeric__loan_int_rate,0.9728479203245263,2.645467822879919,0.9728479203245263
categorical__person_gender_female,-0.8099853408094106,0.44486458752991753,0.8099853408094106
categorical__person_gender_male,-0.8004402237506582,0.4491312023682618,0.8004402237506582
numeric__loan_amnt,-0.6347888278700726,0.5300474077400761,0.6347888278700726
categorical__loan_intent_EDUCATION,-0.6026398758524589,0.5473647521456227,0.6026398758524589
numeric__credit_score,-0.43382978981436227,0.6480225461366635,0.43382978981436227
categorical__loan_intent_PERSONAL,-0.4294334464717778,0.6508777473669397,0.4294334464717778
categorical__person_education_Associate,-0.35946199505792553,0.698051780371504,0.35946199505792553
categorical__person_home_ownership_RENT,0.3512735132278839,1.4208759011236813,0.3512735132278839
categorical__person_education_Bachelor,-0.3484213587721693,0.705801417931602,0.3484213587721693
categorical__person_education_High School,-0.347486279944686,0.7064617065567627,0.347486279944686
categorical__person_education_Master,-0.3344847535167891,0.7157067567557681,0.3344847535167891
categorical__person_home_ownership_MORTGAGE,-0.29691943575848306,0.7431038775506739,0.29691943575848306
categorical__loan_intent_DEBTCONSOLIDATION,0.2358815544336744,1.2660243463150973,0.2358815544336744
categorical__loan_intent_HOMEIMPROVEMENT,0.23422360008214135,1.2639270748116023,0.23422360008214135
categorical__person_education_Doctorate,-0.22057117726849781,0.8020605483508793,0.22057117726849781
numeric__person_age,0.09243526054462936,1.0968421302995703,0.09243526054462936
numeric__person_emp_exp,-0.06847131042042595,0.9338202506296048,0.06847131042042595
numeric__person_income,0.06721787647869118,1.0695284778897223,0.06721787647869118
categorical__loan_intent_MEDICAL,-0.019502558937911182,0.9806863856698841,0.019502558937911182
